folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
601322304,1,TB08,1750,1750,1711.95
601322305,1,TB08,2930,0,2866.3
601328704,1,TB11,3899,500,1917.54
601328813,1,TB10,2310,770,2259.78
601331016,1,TB11,1400,400,684.78
601331222,1,TB09,500,100,489.13
601331222,1,TB08,300,0,293.47
601331222,1,TB02,181,0,525.48
601331222,1,TB03,268,0,778.06
601331401,1,TB03,1080,0,3135.48
601331401,1,TB08,2980,2980,2915.21
601331401,1,TB11,17000,0,8315.21
601331401,1,TB12,950,0,464.67
601344513,1,TB08,2220,1350,2171.73
601344605,1,TB01,1000,0,3000
601344606,1,TB11,8000,0,3934.42
601344606,1,TB08,1019,0,996.84
601344707,1,TB08,500,0,489.13
601369021,1,TB11,2000,2000,978.26
601379612,1,TB13,4800,4800,2360.65
601390321,1,TR07,400,0,1161.29
601390321,1,TB08,297,0,290.54
502466401,1,TB03,772,0,2241.29
502466401,1,TB04,2480,0,7199.99
502466401,1,TB11,780,780,381.52
502466401,1,TB13,14000,14000,6847.82
502466402,1,TB01,4560,0,13238.7
502466402,1,TB13,7800,7800,3815.21
502492002,1,TB08,1000,400,978.26
502586303,1,TB10,3967,177,3880.76
502586303,1,TB08,8025,220,7850.54
502586303,1,TB06,300,0,870.96
502586303,1,TB05,5000,0,14516.12
502586303,1,TB01,1200,0,3483.87
502586306,1,TB07,350,0,1016.12
502763203,1,TB11,4600,0,2287.29
502770501,1,TB05,2000,0,5806.45
502857406,1,TB08,850,0,831.52
502857406,1,TB05,800,0,2322.58
502857406,1,TB03,174,0,505.16
502857406,1,TB13,220000,3800,107608.69
502955405,1,TB09,1000,1000,978.26
502955405,1,TB08,6300,6300,6163.04
503259202,1,TB09,900,0,880.43
503346205,1,TB11,1800,450,895.02
503346205,1,TB12,1280,320,636.46
503395506,1,TB03,353,0,1024.83
503395506,1,TB08,860,0,841.3
503395506,1,TB09,350,0,342.39
503395506,1,TB11,11000,0,5380.43
503395506,1,TB02,435,0,1262.9
503476206,1,TB11,2500,465,1243.09
503495701,1,TR01,800,0,2400
503495701,1,TB14,19000,0,9344.26
503495701,1,TB11,2000,2000,983.6
503495701,1,TB08,2540,0,2484.78
503495701,1,TB04,650,0,1950
503495701,1,TB01,2300,0,6900
503495701,1,TB03,353,0,1059
503495701,1,TB10,900,900,880.43
503563406,1,TB08,2740,787,2680.43
503582204,1,TR01,230,0,667.74
503582204,1,TB14,15000,0,7458.56
503582204,1,TB10,900,300,880.43
503582204,1,TB09,11600,11600,11347.82
503582204,1,TB08,800,0,782.6
503582204,1,TR12,300,0,149.17
503582204,1,TB05,1078,0,3129.67
503582204,1,TB04,300,0,870.96
503582204,1,TB07,400,0,1161.29
503582206,1,TB12,3000,500,1491.71
503629502,1,TB12,38000,0,18586.95
503629502,1,TB11,3000,3000,1467.39
503642706,1,TB01,4200,0,12600
503642706,1,TB02,243,0,729
503642706,1,TB03,482,0,1446
503642706,1,TB05,1500,0,4500
503642706,1,TB08,1000,1000,978.26
503642706,1,TR01,200,0,600
503671603,1,TB06,412,0,1236
503671603,1,TB02,56,0,168
503671603,1,TB03,88,0,264
503680305,1,TB10,1265,1265,1237.49
503680305,1,TB09,1020,1020,997.82
503680305,1,TB08,6480,820,6339.13
503680305,1,TB03,641,0,1860.96
503680305,1,TB02,331,0,960.96
503683204,1,TB05,1000,0,2903.22
503683204,1,TB03,340,0,987.09
503683204,1,TB01,320,0,929.03
503683204,1,TB02,570,0,1654.83
503692004,1,TB02,362,0,1050.96
503692004,1,TB03,80,0,232.25
503692004,1,TB11,730,0,357.06
503710803,1,TB12,480,480,236.06
503713404,1,TB12,7000,1000,3423.91
503816506,1,TB02,591,0,1715.8
503834706,1,TB11,4100,4100,2016.39
503834706,1,TB08,200,200,195.65
503915705,1,TB08,1500,500,1467.39
504209603,1,TB14,88000,0,43278.68
504295803,1,TB09,1000,0,978.26
504370705,1,TB08,1350,0,1320.65
504370705,1,TR08,2500,0,2445.65
504370705,1,TB10,600,0,586.95
504489701,1,TB08,108,36,105.65
504510806,1,TB09,6000,2000,5869.56
504512405,1,TB09,1100,350,1076.08
504547204,1,TB13,800,0,397.79
504706804,1,TB08,2190,500,2142.39
504706804,1,TB03,220,0,660
504706804,1,TB01,1200,0,3600
504706804,1,TB02,80,0,240
504719406,1,TB11,1400,1400,684.78
504833402,1,TB08,58,58,56.73
504834304,1,TB08,1830,1830,1790.21
504834304,1,TB04,6000,0,17419.35
504917702,1,TB11,2400,400,1180.32
504990902,1,TB13,1500,1500,733.69
505015406,1,TB11,1700,700,831.52
505024305,1,TB12,2900,200,1418.47
505024305,1,TB11,29360,230,14360.86
505024305,1,TR11,4000,1500,1956.52
505063901,1,TB08,8220,6820,8041.3
505063901,1,TB12,9000,0,4402.17
505063901,1,TB11,14600,0,7141.3
505063906,1,TB08,8640,0,8452.17
505063906,1,TB13,6000,0,2934.78
505080803,1,TB08,3600,1800,3521.73
505332002,1,TB12,3000,0,1467.39
505341407,1,TB08,3800,800,3717.39
505341410,1,TB01,3000,0,8709.67
505523801,1,TB08,3700,0,3619.56
505523801,1,TB01,5000,0,15000
505523801,1,TB02,549,0,1647
505523801,1,TB03,526,0,1578
505537405,1,TB11,1800,900,880.43
505771301,1,TB13,1830,0,895.1
506019905,1,TB08,1405,1405,1374.45
506019906,1,TB07,230,0,667.74
506019906,1,TB13,3300,500,1614.13
506215423,1,TB12,1350,270,660.32
506225305,1,TB09,60,60,58.69
506246701,1,TB02,1040,0,3120
506246701,1,TB13,3500,3500,1721.31
506246701,1,TB09,4000,4000,3913.04
506289307,1,TB02,150,0,435.48
506289519,1,TB13,1800,600,880.43
506289519,1,TB08,134,67,131.08
506314711,1,TB01,1200,0,3600
506338313,1,TB11,4400,4400,2152.17
506338313,1,TB08,3736,3076,3654.78
506338314,1,TB08,900,0,880.43
506338314,1,TB09,200,0,195.65
506338314,1,TB11,4500,0,2201.08
506409922,1,TB08,1000,166,978.26
506409922,1,TB03,400,0,1161.29
506409922,1,TB10,890,890,870.65
506440202,1,TB03,158,0,458.7
506440202,1,TB01,800,0,2322.58
506440202,1,TB02,210,0,609.67
506582213,1,TB11,2100,700,1044.19
506582405,1,TB01,1000,0,2903.22
506582519,1,TB01,575,0,1669.35
