folioviv,foliohog,numren,id_trabajo,trapais,subor,indep,personal,pago,contrato,tipocontr,pres_1,pres_2,pres_3,pres_4,pres_5,pres_6,pres_7,pres_8,pres_9,pres_10,pres_11,pres_12,pres_13,pres_14,pres_15,pres_16,pres_17,pres_18,pres_19,pres_20,pres_21,pres_22,pres_23,pres_24,pres_25,pres_26,htrab,sinco,scian,clas_emp,tam_emp,no_ing,tiene_suel,tipoact,socios,soc_nr1,soc_nr2,soc_resp,otra_act,tipoact2,tipoact3,tipoact4,lugar,conf_pers
101000903,1,3,1,1,1,,,1,2,,,,,,,,,8,9,10,,,13,,,16,17,,,,21,,,,,,56,8341,5322,1,2,,,,,,,,,,,,,
101000903,1,4,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,9239,3380,1,3,,,,,,,,,,,,,
101000905,1,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,12,13,14,,16,17,18,19,20,21,,23,,,,48,8123,3360,2,11,,,,,,,,,,,,,
101000906,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5114,7221,,2,,2,3,2,,,,2,,,,,
101000906,1,2,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,9,9411,7221,1,3,,,,,,,,,,,,,
101005501,1,1,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,35,8342,4850,1,2,,,,,,,,,,,,,
101005502,1,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,12,13,14,15,16,,,,20,,,23,24,,,52,8212,3360,2,11,,,,,,,,,,,,,
101005502,1,2,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,12,13,14,15,,17,,,20,21,,23,24,,,54,8123,3360,2,11,,,,,,,,,,,,,
101005503,1,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,,,,,,,,,,,,,,23,24,,,60,9231,4840,2,9,,,,,,,,,,,,,
101005503,1,2,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,12,13,14,,16,17,,,20,21,,23,24,,,48,4201,4651,2,6,,,,,,,,,,,,,
101005504,1,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,,13,14,15,16,17,,19,20,,,23,24,,,56,3121,4611,2,8,,,,,,,,,,,,,
101005504,1,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4111,4611,,2,,2,2,1,2,,2,,,,,,
101005504,1,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,4111,4611,,2,,2,2,1,1,,2,2,,,,,
101005504,1,2,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,5112,7221,,2,,2,3,1,1,,2,2,,,,,
101005504,1,3,1,1,1,,,1,1,1,1,,,,,,7,8,9,,11,,,14,15,16,17,,,20,21,,,,,,42,5101,7221,2,3,,,,,,,,,,,,,
101005504,1,4,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,,,,,,,17,,,,,,,,,,48,5114,7221,2,3,,,,,,,,,,,,,
101005504,1,5,1,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4211,4611,1,2,,,,,,,,,,,,,
101005505,1,1,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,54,7121,2382,1,2,,,,,,,,,,,,,
101005506,1,1,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,48,2632,8111,1,2,,,,,,,,,,,,,
101005506,1,2,1,1,1,,,1,1,2,1,,,,,,7,8,9,,11,,,14,,,,,,,,,23,24,,,48,4201,4631,2,7,,,,,,,,,,,,,
101017601,1,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,,,,13,14,,16,17,,,20,21,,23,24,,,40,2821,9314,3,7,,,,,,,,,,,,,
101017601,1,1,2,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,26,10,2321,6131,2,12,,,,,,,,,,,,,
101017601,1,2,1,1,1,,,1,1,2,1,,,,,,7,8,9,,11,12,13,14,15,16,17,,,,21,,23,24,,,48,3213,9314,3,12,,,,,,,,,,,,,
101017602,1,1,1,1,1,,,1,2,,1,,,,,,7,8,9,,11,,13,14,15,16,,,19,20,,,23,24,,,53,5115,7221,1,2,,,,,,,,,,,,,
101017603,1,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,,,13,14,15,16,17,,19,20,21,,23,24,,,48,8211,3360,2,11,,,,,,,,,,,,,
101017603,1,2,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,6,5222,8140,,1,,,,,,,,,,,,,
101017606,1,1,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,72,8342,4850,1,2,,,,,,,,,,,,,
101017606,1,2,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,30,1314,3380,1,2,,,,,,,,,,,,,
101035001,1,2,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,25,7352,3160,1,2,,,,,,,,,,,,,
